ano,id_municipio,avg_wage_dec,n_employ_dec,pop,nome,treated_group,treated_after_treatment
2017,3125200.0,1168.509034,298,"2,374",Fama,0,0
2017,3145505.0,1152.514846,403,"2,829",Olímpio Noronha,0,0
2017,3152907.0,1118.081626,1167,"8,530",Pratápolis,0,0
2017,3164704.0,1202.306475,17654,"71,915",São Sebastião do Paraíso,0,0
2017,3162005.0,1037.465443,4590,"25,670",São Gonçalo do Sapucaí,0,0
2017,3162203.0,1097.340349,1294,"7,541",São João Batista do Glória,0,0
2017,3155801.0,1890.755533,3305,"18,007",Rio Pomba,0,0
2017,3124104.0,1394.355745,6074,"72,512",Esmeraldas,1,0
2017,3113305.0,1140.543834,5248,"33,022",Carangola,0,0
2017,3110509.0,1290.884944,4945,"21,831",Camanducaia,0,0
2017,3163102.0,1096.886813,684,"5,151",São José da Varginha,1,0
2017,3154200.0,1248.002515,1219,"11,578",Resende Costa,0,0
2017,3106101.0,1204.542295,463,"3,422",Belmiro Braga,0,0
2017,3102308.0,1419.159945,2537,"15,135",Alvinópolis,0,0
2017,3101607.0,1686.867721,20655,"80,973",Alfenas,0,0
2017,3126406.0,1268.391758,462,"2,986",Fortuna de Minas,1,0
2017,3145604.0,1108.932202,8866,"41,987",Oliveira,0,0
2017,3131208.0,1154.041889,2206,"20,133",Ipanema,0,0
2017,3140159.0,1108.104388,1451,"15,814",Mário Campos,1,0
2017,3165404.0,1286.473433,1302,"7,045",Sapucaí-Mirim,0,0
2017,3138708.0,824.9967486,944,"5,431",Luminárias,0,0
2017,3163904.0,1102.544811,578,"4,563",São Pedro da União,0,0
2017,3115904.0,1286.449126,326,"3,216",Chácara,0,0
2017,3137809.0,1249.179209,2593,"20,995",Lambari,0,0
2017,3106002.0,1562.201909,1222,"10,269",Bela Vista de Minas,0,0
2017,3139003.0,1170.629548,9094,"42,682",Machado,0,0
2017,3146909.0,1048.850477,2943,"15,922",Papagaios,1,0
2017,3158953.0,1399.385041,4261,"36,048",Santana do Paraíso,0,0
2017,3107406.0,1194.450915,11187,"51,436",Bom Despacho,0,0
2017,3123601.0,1118.087012,5173,"28,556",Elói Mendes,0,0
2017,3147303.0,1516.665228,4460,"21,353",Paraisópolis,0,0
2017,3126000.0,1234.565104,1412,"7,602",Florestal,1,0
2017,3110301.0,1743.762504,2033,"14,600",Caldas,0,0
2017,3147105.0,1291.400147,26349,"95,616",Pará de Minas,1,0
2017,3147402.0,1214.734179,5421,"24,854",Paraopeba,1,0
2017,3155306.0,1195.01365,535,"5,924",Rio Manso,0,0
2017,3136652.0,1806.049729,6403,"27,823",Juatuba,1,0
2017,3138302.0,1394.094821,446,"3,222",Leandro Ferreira,0,0
2017,3166907.0,904.5439051,1041,"7,667",Serrania,0,0
2017,3120904.0,1182.061774,16024,"81,085",Curvelo,0,0
2017,3114303.0,1286.224459,5612,"30,339",Carmo do Paranaíba,0,0
2017,3165537.0,1605.795045,6456,"34,050",Sarzedo,0,0
2017,3133808.0,1514.856682,25066,"94,455",Itaúna,0,0
2017,3142205.0,1239.503657,2354,"15,205",Miraí,0,0
2017,3149606.0,1168.347728,537,"4,457",Pequi,1,0
2017,3100203.0,1176.142132,4084,"23,263",Abaeté,0,0
2017,3114709.0,1323.712962,426,"3,614",Carvalhópolis,0,0
2017,3167905.0,1107.28023,508,"3,669",Tabuleiro,0,0
2017,3169000.0,1166.206334,2980,"16,769",Tocantins,0,0
2017,3152006.0,1363.07822,5358,"32,248",Pompéu,1,0
2017,3122900.0,918.4164136,942,"6,664",Dona Euzébia,0,0
2017,3152709.0,1071.638835,1507,"9,128",Prados,0,0
2017,3120805.0,1224.977073,2609,"15,529",Cruzília,0,0
