Ano,Codigo do Municipio,Nome do Municipio,Nome da Unidade da Federacao,Valor adicionado bruto da Agropecuaria (1000),Valor adicionado bruto da Industria (1000),Valor adicionado bruto dos Serviços (1000),Valor adicionado bruto da Adm (1000),Valor adicionado bruto total (1000),"Impostos, liq de Subsidios, sobre produtos (1000)",PIB (1000),PIB per Capita (1)
2015,3124302,Espinosa,Minas Gerais,12462.554,26543.796,99614.871,106915.387,245536.608,16122.952,261659.56,8138.46
2015,3124401,Espírito Santo do Dourado,Minas Gerais,16795.278,9974.963,20116.31,18693.92,65580.471,5712.511,71292.982,15266.16
2015,3124500,Estiva,Minas Gerais,58048.8,12435.531,101904.052,39914.545,212302.927,16905.428,229208.355,20157.27
2015,3124609,Estrela Dalva,Minas Gerais,2895.255,1235.237,8628.354,12883.791,25642.637,933.374,26576.011,10755.16
2015,3124708,Estrela do Indaiá,Minas Gerais,39370.724,4599.74,21482.293,16265.011,81717.769,2846.288,84564.057,23516.14
2015,3124807,Estrela do Sul,Minas Gerais,41671.533,7344.869,40285.28,28156.804,117458.486,5093.665,122552.151,15518.82
2015,3124906,Eugenópolis,Minas Gerais,22118.835,15918.525,49387.397,38908.184,126332.941,6613.074,132946.015,11903.13
2015,3125002,Ewbank da Câmara,Minas Gerais,2880.5,5009.188,12700.482,15344.731,35934.902,1675.006,37609.907,9577.26
2015,3125101,Extrema,Minas Gerais,7135.096,1196619.138,2483278.427,156057.107,3843089.767,1243114.864,5086204.631,153745.38
2015,3125200,Fama,Minas Gerais,8286.556,2002.562,12103.61,12413.973,34806.701,905.493,35712.193,14738.83
2015,3125309,Faria Lemos,Minas Gerais,11762.885,5260.286,11739.007,15335.536,44097.715,2087.37,46185.085,13599.85
2015,3125408,Felício dos Santos,Minas Gerais,5919.225,1296.949,11028.854,19925.068,38170.096,1298.14,39468.236,7767.81
2015,3125507,São Gonçalo do Rio Preto,Minas Gerais,2053.679,1349.385,7715.057,15379.982,26498.103,727.721,27225.824,8537.42
2015,3125606,Felisburgo,Minas Gerais,8130.794,1854.925,16800.849,27548.181,54334.749,1546.367,55881.115,7615.31
2015,3125705,Felixlândia,Minas Gerais,102068.691,8173.245,69481.498,57861.646,237585.08,14131.739,251716.819,16694.31
2015,3125804,Fernandes Tourinho,Minas Gerais,4247.522,2186.06,9675.295,14514.421,30623.298,1261.289,31884.586,9650.3
2015,3125903,Ferros,Minas Gerais,18899.59,4620.683,34796.569,39077.722,97394.564,3796.0,101190.564,9536.38
2015,3125952,Fervedouro,Minas Gerais,26300.339,5218.968,32339.637,38559.582,102418.526,4359.948,106778.475,9763.94
2015,3126000,Florestal,Minas Gerais,12337.057,8405.102,44048.809,29810.469,94601.437,6589.239,101190.675,14036.71
2015,3126109,Formiga,Minas Gerais,71294.435,216162.188,692288.895,239141.37,1218886.887,117827.141,1336714.028,19646.0
2015,3126208,Formoso,Minas Gerais,70289.951,7370.559,42456.784,33328.771,153446.065,7709.4,161155.465,17773.85
2015,3126307,Fortaleza de Minas,Minas Gerais,12088.914,24660.207,22198.205,20737.83,79685.155,14187.479,93872.635,21545.25
2015,3126406,Fortuna de Minas,Minas Gerais,5179.143,2913.325,9394.591,14262.675,31749.735,1190.2,32939.936,11386.08
