ANO,NOME_MUN,GINI
2010,Turvolândia,0.4949
2010,Ubá,0.5044
2010,Ubaí,0.4951
2010,Ubaporanga,0.4113
2010,Uberaba,0.5052
2010,Uberlândia,0.5122
2010,Umburatiba,0.4973
2010,Unaí,0.5347
2010,União de Minas,0.4588
2010,Uruana de Minas,0.5361
2010,Urucânia,0.4131
2010,Urucuia,0.4704
2010,Vargem Alegre,0.4994
2010,Vargem Bonita,0.3889
2010,Vargem Grande do Rio Pardo,0.4576
2010,Varginha,0.5186
2010,Varjão de Minas,0.4042
2010,Várzea da Palma,0.47
2010,Varzelândia,0.5144
2010,Vazante,0.4606
2010,Verdelândia,0.4558
2010,Veredinha,0.4346
2010,Veríssimo,0.5029
2010,Vermelho Novo,0.5316
2010,Vespasiano,0.438
2010,Viçosa,0.5628
2010,Vieiras,0.4314
2010,Virgem da Lapa,0.4999
2010,Virgínia,0.4741
2010,Virginópolis,0.4983
2010,Virgolândia,0.5019
2010,Visconde do Rio Branco,0.4941
2010,Volta Grande,0.523
2010,Wenceslau Braz,0.436
