NOME_MUN,TAXA_ALFAB,ANO
Santana de Cataguases,89.6,2010
Santana de Pirapama,83.9,2010
Santana do Deserto,91.4,2010
Santana do Garambéu,84.8,2010
Santana do Jacaré,86.2,2010
Santana do Manhuaçu,84.4,2010
Santana do Paraíso,91.6,2010
Santana do Riacho,86.1,2010
Santana dos Montes,90.0,2010
Santa Rita de Caldas,92.2,2010
Santa Rita de Jacutinga,88.5,2010
Santa Rita de Minas,85.3,2010
Santa Rita de Ibitipoca,84.5,2010
Santa Rita do Itueto,83.2,2010
Santa Rita do Sapucaí,92.2,2010
Santa Rosa da Serra,88.8,2010
Santa Vitória,88.7,2010
Santo Antônio do Amparo,88.6,2010
Santo Antônio do Aventureiro,87.6,2010
Santo Antônio do Grama,86.3,2010
Santo Antônio do Itambé,80.1,2010
Santo Antônio do Jacinto,73.5,2010
Santo Antônio do Monte,94.2,2010
Santo Antônio do Retiro,72.7,2010
Santo Antônio do Rio Abaixo,83.2,2010
Santo Hipólito,85.2,2010
Santos Dumont,93.3,2010
São Bento Abade,88.6,2010
São Brás do Suaçuí,95.6,2010
São Domingos das Dores,88.7,2010
São Domingos do Prata,91.8,2010
São Félix de Minas,80.0,2010
São Francisco,84.8,2010
São Francisco de Paula,87.8,2010
São Francisco de Sales,90.1,2010
São Francisco do Glória,86.0,2010
São Geraldo,90.4,2010
São Geraldo da Piedade,80.9,2010
São Geraldo do Baixio,81.2,2010
São Gonçalo do Abaeté,89.4,2010
São Gonçalo do Pará,94.0,2010
São Gonçalo do Rio Abaixo,89.4,2010
São Gonçalo do Sapucaí,92.6,2010
São Gotardo,92.6,2010
São João Batista do Glória,91.1,2010
São João da Lagoa,86.1,2010
São João da Mata,89.9,2010
São João da Ponte,74.6,2010
São João das Missões,72.7,2010
São João del Rei,96.3,2010
São João do Manhuaçu,87.2,2010
São João do Manteninha,80.5,2010
São João do Oriente,85.1,2010
São João do Pacuí,80.3,2010
São João do Paraíso,75.3,2010
São João Evangelista,85.4,2010
São João Nepomuceno,95.0,2010
São Joaquim de Bicas,92.1,2010
São José da Barra,94.0,2010
São José da Lapa,94.9,2010
São José da Safira,78.8,2010
São José da Varginha,93.5,2010
São José do Alegre,91.6,2010
São José do Divino,81.1,2010
São José do Goiabal,88.8,2010
São José do Jacuri,82.1,2010
São José do Mantimento,85.4,2010
São Lourenço,96.1,2010
São Miguel do Anta,84.4,2010
São Pedro da União,88.4,2010
São Pedro dos Ferros,85.9,2010
São Pedro do Suaçuí,82.7,2010
São Romão,87.2,2010
São Roque de Minas,90.9,2010
São Sebastião da Bela Vista,86.7,2010
São Sebastião da Vargem Alegre,88.8,2010
São Sebastião do Anta,83.8,2010
São Sebastião do Maranhão,78.3,2010
São Sebastião do Oeste,91.1,2010
São Sebastião do Paraíso,94.1,2010
São Sebastião do Rio Preto,87.2,2010
São Sebastião do Rio Verde,90.7,2010
São Tiago,92.4,2010
São Tomás de Aquino,89.3,2010
São Tomé das Letras,88.5,2010
São Vicente de Minas,93.5,2010
Sapucaí-Mirim,90.8,2010
Sardoá,84.4,2010
Sarzedo,94.7,2010
Setubinha,72.5,2010
Sem-Peixe,85.7,2010
Senador Amaral,88.7,2010
Senador Cortes,89.3,2010
Senador Firmino,90.9,2010
Senador José Bento,89.0,2010
Senador Modestino Gonçalves,78.7,2010
Senhora de Oliveira,88.4,2010
Senhora do Porto,83.1,2010
Senhora dos Remédios,87.4,2010
Sericita,84.0,2010
Seritinga,91.8,2010
Serra Azul de Minas,76.8,2010
Serra da Saudade,87.7,2010
Serra dos Aimorés,82.2,2010
Serra do Salitre,91.8,2010
Serrania,87.7,2010
Serranópolis de Minas,79.0,2010
Serranos,84.6,2010
Serro,83.6,2010
Sete Lagoas,96.3,2010
Silveirânia,89.4,2010
Silvianópolis,89.2,2010
Simão Pereira,89.8,2010
Simonésia,84.8,2010
Sobrália,82.2,2010
Soledade de Minas,91.8,2010
Tabuleiro,88.2,2010
Taiobeiras,84.2,2010
Taparuba,82.9,2010
Tapira,93.9,2010
Tapiraí,88.2,2010
Taquaraçu de Minas,87.1,2010
Tarumirim,83.8,2010
Teixeiras,90.6,2010
Teófilo Otoni,88.2,2010
Timóteo,95.9,2010
Tiradentes,94.6,2010
Tiros,90.3,2010
Tocantins,91.9,2010
Tocos do Moji,90.5,2010
Toledo,85.2,2010
Tombos,88.6,2010
Três Corações,93.6,2010
Três Marias,93.2,2010
Três Pontas,92.1,2010
Tumiritinga,84.4,2010
Tupaciguara,91.3,2010
Turmalina,86.7,2010
Turvolândia,89.9,2010
Ubá,94.6,2010
Ubaí,82.1,2010
Ubaporanga,86.7,2010
Uberaba,96.0,2010
Uberlândia,96.5,2010
Umburatiba,75.9,2010
Unaí,91.9,2010
União de Minas,87.0,2010
Uruana de Minas,84.1,2010
Urucânia,86.2,2010
Urucuia,88.2,2010
Vargem Alegre,83.5,2010
Vargem Bonita,92.6,2010
Vargem Grande do Rio Pardo,77.7,2010
Varginha,95.7,2010
Varjão de Minas,91.9,2010
Várzea da Palma,89.1,2010
Varzelândia,78.7,2010
Vazante,93.2,2010
Verdelândia,76.2,2010
Veredinha,80.5,2010
Veríssimo,88.6,2010
Vermelho Novo,88.0,2010
Vespasiano,94.6,2010
Viçosa,94.8,2010
Vieiras,86.7,2010
Mathias Lobato,81.9,2010
Virgem da Lapa,80.0,2010
Virgínia,88.6,2010
Virginópolis,88.4,2010
Virgolândia,81.0,2010
Visconde do Rio Branco,91.9,2010
Volta Grande,88.8,2010
Wenceslau Braz,94.8,2010
