NOME_MUN,PROP_MENOS_DE_1_SM,PROP_1_A_2_SM,PROP_2_A_5_SM,PROP_5_A_10_SM,PROP_MAIS_DE_10_SM,ANO
Funilândia,0.40098856966326846,0.14983008958912572,0.04633920296570899,0.009576768612913192,0.0027803521779425394,2010
Galiléia,0.41659639062236464,0.1192443919716647,0.05127340192275257,0.0126496879743633,0.0033732501264968798,2010
Gameleiras,0.4503311258278146,0.08746289107102079,0.020552637588490522,0.002740351678465403,0.0011418131993605847,2010
Glaucilândia,0.4483168316831683,0.1001980198019802,0.03762376237623762,0.005148514851485149,0.0015841584158415843,2010
Goiabeira,0.4469726185885075,0.11878133436174315,0.045507134593135365,0.01041264944080216,0.0023139220979560356,2010
Goianá,0.40469483568075115,0.18028169014084508,0.08169014084507042,0.018466353677621283,0.006259780907668232,2010
Gonçalves,0.3740210640021604,0.2076694571968674,0.0815554955441534,0.017283283823926545,0.006751282743721307,2010
Gonzaga,0.37573187966888755,0.10458308096103372,0.030688471633353524,0.004239854633555421,0.0010094891984655764,2010
Gouveia,0.44930104351250244,0.10691080921441229,0.043414057885410515,0.007875566056310297,0.0022642252411892104,2010
Governador Valadares,0.2855977296913799,0.18923820503724725,0.10671780773323873,0.032431713373536716,0.01187477829017382,2010
Grão Mogol,0.4271984622777511,0.10211436809226333,0.03099471407976934,0.006887714239948743,0.0017619734102194459,2010
Grupiara,0.35308848080133554,0.2362270450751252,0.08764607679465776,0.010851419031719533,0.005008347245409015,2010
Guanhães,0.3769670691137443,0.13426531603932268,0.07348708556049789,0.02070795798602026,0.005532089859081224,2010
Guapé,0.41993831791281155,0.16362423939318163,0.05951487871967992,0.010836042343919314,0.0042510627656914225,2010
Guaraciaba,0.5201383465357581,0.09003681802967756,0.03291308713600357,0.006471047640299007,0.0012272676559187772,2010
Guaraciama,0.42152243987106375,0.12050582692784528,0.02281180262831639,0.0061988594098685845,0.0004959087527894868,2010
Guaranésia,0.32319229362272894,0.2509450067064992,0.0963297158883063,0.01664431166930862,0.004450676746738202,2010
Guarani,0.4153400868306802,0.1649782923299566,0.071701091961584,0.02144454677016182,0.007367451651098539,2010
Guarará,0.45272459499263623,0.17290132547864506,0.055375552282768775,0.015022091310751105,0.003240058910162003,2010
Guarda-Mor,0.29861734602262524,0.19033937870353743,0.09534925480337583,0.028910037708744837,0.012569581612497755,2010
Guaxupé,0.3169651098393945,0.22030182757984124,0.11281613439172974,0.030828872069411112,0.009853239800627654,2010
Guidoval,0.41632394811768425,0.22413793103448276,0.07197089528630181,0.011230623220499843,0.002056311293894337,2010
Guimarânia,0.3807605543022881,0.18611021592007734,0.07299387689332903,0.01498549790525298,0.00676764421527554,2010
Guiricema,0.4845923807047198,0.15433623716031725,0.04940839942790275,0.00962163567806527,0.0015602652450916656,2010
Gurinhatã,0.353908704490852,0.17335058214747737,0.08889299574939938,0.022916281648493807,0.006653114026982074,2010
Heliodora,0.44260131950989634,0.13779453345900095,0.05447690857681432,0.008105560791705938,0.0024505183788878417,2010
Iapu,0.3856966153154166,0.12076914427077477,0.057685820308107504,0.010795007309119533,0.002361407848869898,2010
Ibertioga,0.45448307410795974,0.09309240622140896,0.04414455626715462,0.008920402561756633,0.003202195791399817,2010
Ibiá,0.2826368804228583,0.2087364116884412,0.10691133938366411,0.024932681759250026,0.008177919617034008,2010
Ibiaí,0.43635241475081005,0.09072673970066347,0.026693411510569358,0.005246103996296868,0.0007714858818083629,2010
Ibiracatu,0.3578640776699029,0.06524271844660194,0.019611650485436893,0.0013592233009708738,0.0003883495145631068,2010
