NOME_MUN,EXP_VIDA_AO_NASCER,MORTALIDADE_INFANTIL,IDHM,IDHM_RENDA,IDHM_LONGEVIDADE,IDHM_EDU,ANO,REND_MEDIO_FORMAL,TRANSF_PER_CAPITA_BOLSA_FAMILIA
Igaratinga,75.54,14.5,0.651,0.682,0.842,0.481,2010,,
Iguatama,74.51,16.1,0.707,0.695,0.825,0.616,2010,,
Ijaci,75.37,14.8,0.714,0.663,0.84,0.654,2010,,
Ilicínea,74.61,15.9,0.68,0.665,0.827,0.571,2010,,
Imbé de Minas,69.66,25.0,0.553,0.572,0.744,0.397,2010,,
Inconfidentes,75.59,14.4,0.692,0.688,0.843,0.572,2010,,
Indaiabira,73.26,18.2,0.61,0.575,0.804,0.49,2010,,
Indianópolis,75.06,15.2,0.674,0.664,0.834,0.554,2010,,
Ingaí,76.45,13.2,0.697,0.694,0.858,0.569,2010,,
Inhapim,74.72,15.8,0.658,0.642,0.829,0.535,2010,,
Inhaúma,75.71,14.3,0.702,0.657,0.845,0.624,2010,,
Inimutaba,73.61,17.6,0.664,0.625,0.81,0.579,2010,,
Ipaba,74.72,15.8,0.665,0.63,0.829,0.562,2010,,
Ipanema,75.87,14.0,0.693,0.67,0.848,0.586,2010,,
Ipatinga,76.85,13.22,0.771,0.752,0.864,0.705,2010,,
Ipiaçu,73.82,17.2,0.696,0.68,0.814,0.61,2010,,
Ipuiúna,76.98,12.4,0.686,0.723,0.866,0.516,2010,,
Iraí de Minas,75.84,14.1,0.695,0.705,0.847,0.563,2010,,
Itabira,77.37,11.18,0.756,0.729,0.873,0.678,2010,,
