COD_MUN,ANO,VINCULOS_MEDIA
3162559,2017,711.5833333333334
3162559,2018,756.0833333333334
3162559,2019,759.9166666666666
3162559,2020,734.4166666666666
3162559,2021,775.6666666666666
3162559,2022,813.3333333333334
3162559,2023,842.9166666666666
3162559,2024,901.25
3162559,2025,897.5
3162575,2007,497.5833333333333
3162575,2008,516.6666666666666
3162575,2009,539.5
3162575,2010,598.9166666666666
3162575,2011,692.1666666666666
3162575,2012,807.1666666666666
3162575,2013,895.25
3162575,2014,919.1666666666666
3162575,2015,950.1666666666666
3162575,2016,959.9166666666666
3162575,2017,936.3333333333334
3162575,2018,897.1666666666666
3162575,2019,879.1666666666666
3162575,2020,896.0833333333334
3162575,2021,964.75
3162575,2022,936.3333333333334
3162575,2023,877.3333333333334
3162575,2024,828.0
3162575,2025,800.1666666666666
3162609,2007,518.0
3162609,2008,542.6666666666666
3162609,2009,554.25
3162609,2010,585.5
3162609,2011,606.0
3162609,2012,608.1666666666666
3162609,2013,613.6666666666666
3162609,2014,641.0
3162609,2015,653.75
3162609,2016,646.8333333333334
3162609,2017,636.0
3162609,2018,630.6666666666666
3162609,2019,630.0833333333334
3162609,2020,601.0833333333334
3162609,2021,604.8333333333334
3162609,2022,577.3333333333334
3162609,2023,590.5
3162609,2024,603.9166666666666
3162609,2025,597.0833333333334
3162658,2007,219.08333333333334
3162658,2008,218.75
3162658,2009,218.33333333333334
3162658,2010,217.33333333333334
3162658,2011,219.58333333333334
3162658,2012,219.58333333333334
3162658,2013,220.91666666666666
3162658,2014,225.33333333333334
3162658,2015,228.66666666666666
3162658,2016,228.66666666666666
3162658,2017,230.08333333333334
3162658,2018,228.16666666666666
3162658,2019,220.91666666666666
3162658,2020,221.0
3162658,2021,222.16666666666666
3162658,2022,228.83333333333334
3162658,2023,240.08333333333334
3162658,2024,240.66666666666666
3162658,2025,240.25
3162708,2007,2207.9166666666665
3162708,2008,2772.75
3162708,2009,2023.1666666666667
3162708,2010,2315.5833333333335
3162708,2011,2666.3333333333335
3162708,2012,2457.25
3162708,2013,2219.5
3162708,2014,2743.4166666666665
3162708,2015,2770.0
3162708,2016,2717.1666666666665
3162708,2017,2760.0833333333335
3162708,2018,2906.75
3162708,2019,2905.8333333333335
3162708,2020,2895.5
3162708,2021,3143.6666666666665
3162708,2022,3238.8333333333335
3162708,2023,3152.5
3162708,2024,3107.3333333333335
3162708,2025,3093.0833333333335
3162807,2007,967.5833333333334
3162807,2008,1033.5833333333333
3162807,2009,1128.25
3162807,2010,1124.25
3162807,2011,1182.5
3162807,2012,1197.1666666666667
3162807,2013,1160.8333333333333
3162807,2014,1219.3333333333333
3162807,2015,1252.25
3162807,2016,1264.75
3162807,2017,1258.25
3162807,2018,1256.5833333333333
3162807,2019,1285.6666666666667
3162807,2020,1304.5
3162807,2021,1336.75
3162807,2022,1393.5833333333333
3162807,2023,1504.8333333333333
3162807,2024,1601.4166666666667
3162807,2025,1596.9166666666667
3162906,2007,5255.333333333333
3162906,2008,5348.333333333333
3162906,2009,5417.916666666667
3162906,2010,5716.0
3162906,2011,6009.5
3162906,2012,6283.916666666667
3162906,2013,6530.166666666667
3162906,2014,6841.083333333333
3162906,2015,6534.416666666667
3162906,2016,6327.166666666667
3162906,2017,6092.5
3162906,2018,6010.0
3162906,2019,5875.916666666667
3162906,2020,5259.166666666667
3162906,2021,6087.083333333333
3162906,2022,6522.25
3162906,2023,6557.833333333333
3162906,2024,6492.666666666667
3162906,2025,6469.5
3162922,2007,4112.833333333333
3162922,2008,4633.666666666667
3162922,2009,4535.166666666667
3162922,2010,5078.916666666667
3162922,2011,5661.416666666667
3162922,2012,5864.333333333333
3162922,2013,5579.416666666667
3162922,2014,5501.666666666667
3162922,2015,5029.5
3162922,2016,4444.333333333333
3162922,2017,4262.0
3162922,2018,4671.833333333333
3162922,2019,4960.916666666667
3162922,2020,5116.416666666667
3162922,2021,5676.583333333333
3162922,2022,5994.75
3162922,2023,7840.166666666667
3162922,2024,9559.0
3162922,2025,9808.666666666666
3162948,2007,1094.8333333333333
3162948,2008,1175.8333333333333
3162948,2009,1226.25
3162948,2010,1278.8333333333333
3162948,2011,1317.4166666666667
3162948,2012,1265.3333333333333
3162948,2013,1262.8333333333333
3162948,2014,1260.1666666666667
3162948,2015,1203.4166666666667
3162948,2016,1239.8333333333333
3162948,2017,1275.3333333333333
3162948,2018,1262.5833333333333
3162948,2019,1299.5
3162948,2020,1352.6666666666667
3162948,2021,1393.3333333333333
3162948,2022,1421.6666666666667
3162948,2023,1425.0833333333333
3162948,2024,1521.75
3162948,2025,1534.6666666666667
3162955,2007,2828.0
3162955,2008,2913.0
3162955,2009,2971.0
3162955,2010,3262.0
3162955,2011,3583.5
3162955,2012,3910.3333333333335
3162955,2013,4100.916666666667
3162955,2014,4283.416666666667
3162955,2015,4008.5
3162955,2016,3559.9166666666665
3162955,2017,3537.5
3162955,2018,3485.5833333333335
3162955,2019,3763.0833333333335
3162955,2020,3969.4166666666665
3162955,2021,4230.166666666667
3162955,2022,4677.083333333333
3162955,2023,4873.083333333333
3162955,2024,4940.75
3162955,2025,4989.25
3163003,2007,159.91666666666666
3163003,2008,164.33333333333334
3163003,2009,157.5
3163003,2010,161.58333333333334
3163003,2011,159.5
3163003,2012,148.66666666666666
3163003,2013,166.91666666666666
3163003,2014,184.58333333333334
3163003,2015,188.25
3163003,2016,184.58333333333334
3163003,2017,162.0
3163003,2018,161.08333333333334
3163003,2019,163.08333333333334
3163003,2020,186.75
3163003,2021,209.83333333333334
3163003,2022,231.33333333333334
3163003,2023,242.16666666666666
3163003,2024,250.83333333333334
3163003,2025,225.0
3163102,2007,686.5
3163102,2008,676.3333333333334
3163102,2009,682.5833333333334
3163102,2010,739.5
3163102,2011,777.75
3163102,2012,776.6666666666666
3163102,2013,756.0
3163102,2014,763.4166666666666
3163102,2015,731.8333333333334
3163102,2016,621.9166666666666
3163102,2017,637.5
3163102,2018,647.75
3163102,2019,646.3333333333334
3163102,2020,665.0833333333334
3163102,2021,759.75
3163102,2022,833.4166666666666
3163102,2023,856.0833333333334
3163102,2024,882.3333333333334
3163102,2025,888.5833333333334
3163201,2007,252.58333333333334
3163201,2008,272.4166666666667
3163201,2009,266.4166666666667
3163201,2010,288.8333333333333
3163201,2011,285.25
3163201,2012,281.5
3163201,2013,296.5
3163201,2014,312.0833333333333
3163201,2015,322.75
3163201,2016,323.8333333333333
3163201,2017,326.4166666666667
3163201,2018,330.1666666666667
3163201,2019,332.5833333333333
3163201,2020,325.9166666666667
3163201,2021,339.25
3163201,2022,353.0
3163201,2023,385.0833333333333
3163201,2024,431.0
